freq (Hz),output noise; A / sqrt(Hz) b 8 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 4  (A / sqrt(Hz))
9.33254E3,27.0284E-12,33.4683E-12,43.2169E-12,57.4889E-12,77.6767E-12,26.1168E-12,31.8615E-12,40.5713E-12,53.5158E-12,72.1489E-12,25.7396E-12,31.4128E-12,40.0022E-12,52.7683E-12,71.2134E-12,25.4639E-12,31.1149E-12,39.6682E-12,52.3851E-12,70.7588E-12,25.2467E-12,30.8839E-12,39.4163E-12,52.1010E-12,70.4290E-12,25.0709E-12,30.6972E-12,39.2141E-12,51.8756E-12,70.1658E-12,24.9258E-12,30.5429E-12,39.0476E-12,51.6778E-12,69.9481E-12,24.8042E-12,30.4135E-12,38.9075E-12,51.5196E-12,69.7644E-12,24.7009E-12,30.3031E-12,38.7885E-12,51.3847E-12,69.6074E-12
9.54993E3,27.0177E-12,33.4621E-12,43.2133E-12,57.4862E-12,77.6741E-12,26.1071E-12,31.8560E-12,40.5682E-12,53.5137E-12,72.1471E-12,25.7299E-12,31.4074E-12,39.9991E-12,52.7663E-12,71.2118E-12,25.4540E-12,31.1094E-12,39.6651E-12,52.3831E-12,70.7573E-12,25.2368E-12,30.8784E-12,39.4132E-12,52.0990E-12,70.4275E-12,25.0609E-12,30.6917E-12,39.2110E-12,51.8736E-12,70.1643E-12,24.9158E-12,30.5374E-12,39.0444E-12,51.6758E-12,69.9466E-12,24.7941E-12,30.4079E-12,38.9044E-12,51.5177E-12,69.7630E-12,24.6908E-12,30.2975E-12,38.7853E-12,51.3827E-12,69.6060E-12
9.77237E3,27.0073E-12,33.4561E-12,43.2096E-12,57.4837E-12,77.6714E-12,26.0976E-12,31.8507E-12,40.5651E-12,53.5117E-12,72.1453E-12,25.7203E-12,31.4021E-12,39.9960E-12,52.7644E-12,71.2102E-12,25.4444E-12,31.1041E-12,39.6621E-12,52.3812E-12,70.7558E-12,25.2271E-12,30.8730E-12,39.4101E-12,52.0971E-12,70.4261E-12,25.0511E-12,30.6863E-12,39.2080E-12,51.8717E-12,70.1629E-12,24.9059E-12,30.5320E-12,39.0414E-12,51.6739E-12,69.9452E-12,24.7843E-12,30.4025E-12,38.9013E-12,51.5158E-12,69.7616E-12,24.6809E-12,30.2921E-12,38.7822E-12,51.3808E-12,69.6046E-12
10.0000E3,26.9971E-12,33.4502E-12,43.2061E-12,57.4811E-12,77.6689E-12,26.0883E-12,31.8455E-12,40.5621E-12,53.5097E-12,72.1436E-12,25.7110E-12,31.3969E-12,39.9931E-12,52.7625E-12,71.2087E-12,25.4350E-12,31.0989E-12,39.6591E-12,52.3793E-12,70.7544E-12,25.2176E-12,30.8678E-12,39.4072E-12,52.0952E-12,70.4247E-12,25.0416E-12,30.6811E-12,39.2050E-12,51.8699E-12,70.1615E-12,24.8964E-12,30.5267E-12,39.0384E-12,51.6720E-12,69.9439E-12,24.7746E-12,30.3971E-12,38.8983E-12,51.5139E-12,69.7603E-12,24.6712E-12,30.2868E-12,38.7792E-12,51.3790E-12,69.6033E-12
10.2329E3,26.9871E-12,33.4444E-12,43.2027E-12,57.4787E-12,77.6664E-12,26.0792E-12,31.8404E-12,40.5591E-12,53.5078E-12,72.1420E-12,25.7019E-12,31.3919E-12,39.9902E-12,52.7606E-12,71.2072E-12,25.4258E-12,31.0938E-12,39.6562E-12,52.3775E-12,70.7529E-12,25.2083E-12,30.8627E-12,39.4043E-12,52.0934E-12,70.4233E-12,25.0323E-12,30.6759E-12,39.2020E-12,51.8680E-12,70.1602E-12,24.8870E-12,30.5215E-12,39.0354E-12,51.6702E-12,69.9425E-12,24.7652E-12,30.3920E-12,38.8954E-12,51.5121E-12,69.7590E-12,24.6617E-12,30.2816E-12,38.7763E-12,51.3771E-12,69.6019E-12
10.4713E3,26.9773E-12,33.4388E-12,43.1993E-12,57.4763E-12,77.6639E-12,26.0703E-12,31.8355E-12,40.5563E-12,53.5059E-12,72.1404E-12,25.6930E-12,31.3869E-12,39.9873E-12,52.7588E-12,71.2058E-12,25.4169E-12,31.0888E-12,39.6534E-12,52.3757E-12,70.7516E-12,25.1993E-12,30.8577E-12,39.4014E-12,52.0916E-12,70.4220E-12,25.0232E-12,30.6709E-12,39.1992E-12,51.8663E-12,70.1589E-12,24.8778E-12,30.5165E-12,39.0326E-12,51.6684E-12,69.9412E-12,24.7560E-12,30.3869E-12,38.8925E-12,51.5103E-12,69.7577E-12,24.6525E-12,30.2765E-12,38.7734E-12,51.3754E-12,69.6007E-12
10.7152E3,26.9678E-12,33.4333E-12,43.1960E-12,57.4739E-12,77.6615E-12,26.0617E-12,31.8306E-12,40.5535E-12,53.5040E-12,72.1388E-12,25.6843E-12,31.3821E-12,39.9846E-12,52.7570E-12,71.2044E-12,25.4081E-12,31.0840E-12,39.6506E-12,52.3739E-12,70.7502E-12,25.1904E-12,30.8528E-12,39.3986E-12,52.0899E-12,70.4207E-12,25.0142E-12,30.6660E-12,39.1964E-12,51.8645E-12,70.1576E-12,24.8689E-12,30.5115E-12,39.0298E-12,51.6667E-12,69.9400E-12,24.7470E-12,30.3819E-12,38.8897E-12,51.5086E-12,69.7564E-12,24.6435E-12,30.2715E-12,38.7706E-12,51.3736E-12,69.5994E-12
10.9648E3,26.9585E-12,33.4279E-12,43.1928E-12,57.4716E-12,77.6592E-12,26.0532E-12,31.8259E-12,40.5507E-12,53.5022E-12,72.1372E-12,25.6758E-12,31.3774E-12,39.9819E-12,52.7553E-12,71.2030E-12,25.3995E-12,31.0792E-12,39.6479E-12,52.3722E-12,70.7489E-12,25.1818E-12,30.8480E-12,39.3959E-12,52.0882E-12,70.4194E-12,25.0055E-12,30.6612E-12,39.1937E-12,51.8628E-12,70.1563E-12,24.8601E-12,30.5067E-12,39.0271E-12,51.6650E-12,69.9387E-12,24.7382E-12,30.3771E-12,38.8870E-12,51.5069E-12,69.7552E-12,24.6346E-12,30.2666E-12,38.7678E-12,51.3719E-12,69.5982E-12
11.2202E3,26.9494E-12,33.4226E-12,43.1896E-12,57.4694E-12,77.6569E-12,26.0449E-12,31.8213E-12,40.5480E-12,53.5004E-12,72.1357E-12,25.6674E-12,31.3728E-12,39.9792E-12,52.7536E-12,71.2016E-12,25.3911E-12,31.0746E-12,39.6453E-12,52.3706E-12,70.7476E-12,25.1733E-12,30.8434E-12,39.3933E-12,52.0865E-12,70.4181E-12,24.9970E-12,30.6565E-12,39.1910E-12,51.8611E-12,70.1551E-12,24.8515E-12,30.5020E-12,39.0244E-12,51.6633E-12,69.9375E-12,24.7296E-12,30.3723E-12,38.8843E-12,51.5052E-12,69.7540E-12,24.6260E-12,30.2619E-12,38.7652E-12,51.3703E-12,69.5970E-12
11.4815E3,26.9405E-12,33.4175E-12,43.1865E-12,57.4672E-12,77.6547E-12,26.0368E-12,31.8167E-12,40.5454E-12,53.4987E-12,72.1342E-12,25.6593E-12,31.3682E-12,39.9766E-12,52.7519E-12,71.2003E-12,25.3829E-12,31.0701E-12,39.6427E-12,52.3689E-12,70.7464E-12,25.1651E-12,30.8388E-12,39.3907E-12,52.0849E-12,70.4169E-12,24.9887E-12,30.6519E-12,39.1884E-12,51.8595E-12,70.1539E-12,24.8432E-12,30.4974E-12,39.0218E-12,51.6617E-12,69.9363E-12,24.7212E-12,30.3677E-12,38.8817E-12,51.5036E-12,69.7528E-12,24.6175E-12,30.2572E-12,38.7625E-12,51.3686E-12,69.5958E-12
11.7490E3,26.9318E-12,33.4125E-12,43.1835E-12,57.4650E-12,77.6525E-12,26.0289E-12,31.8123E-12,40.5429E-12,53.4970E-12,72.1328E-12,25.6514E-12,31.3638E-12,39.9741E-12,52.7503E-12,71.1990E-12,25.3749E-12,31.0656E-12,39.6401E-12,52.3673E-12,70.7451E-12,25.1570E-12,30.8343E-12,39.3882E-12,52.0833E-12,70.4157E-12,24.9806E-12,30.6474E-12,39.1859E-12,51.8579E-12,70.1527E-12,24.8350E-12,30.4929E-12,39.0192E-12,51.6601E-12,69.9352E-12,24.7129E-12,30.3632E-12,38.8791E-12,51.5020E-12,69.7516E-12,24.6093E-12,30.2527E-12,38.7600E-12,51.3670E-12,69.5947E-12
12.0226E3,26.9233E-12,33.4076E-12,43.1806E-12,57.4629E-12,77.6504E-12,26.0211E-12,31.8080E-12,40.5403E-12,53.4953E-12,72.1314E-12,25.6436E-12,31.3595E-12,39.9716E-12,52.7487E-12,71.1978E-12,25.3670E-12,31.0613E-12,39.6377E-12,52.3657E-12,70.7439E-12,25.1491E-12,30.8300E-12,39.3857E-12,52.0817E-12,70.4146E-12,24.9726E-12,30.6430E-12,39.1834E-12,51.8564E-12,70.1516E-12,24.8270E-12,30.4885E-12,39.0167E-12,51.6586E-12,69.9340E-12,24.7049E-12,30.3588E-12,38.8766E-12,51.5004E-12,69.7505E-12,24.6012E-12,30.2482E-12,38.7575E-12,51.3655E-12,69.5935E-12
12.3027E3,26.9149E-12,33.4028E-12,43.1777E-12,57.4609E-12,77.6483E-12,26.0135E-12,31.8038E-12,40.5379E-12,53.4937E-12,72.1300E-12,25.6360E-12,31.3553E-12,39.9692E-12,52.7472E-12,71.1965E-12,25.3594E-12,31.0571E-12,39.6353E-12,52.3642E-12,70.7428E-12,25.1414E-12,30.8257E-12,39.3833E-12,52.0802E-12,70.4134E-12,24.9648E-12,30.6387E-12,39.1810E-12,51.8549E-12,70.1504E-12,24.8192E-12,30.4842E-12,39.0143E-12,51.6571E-12,69.9329E-12,24.6970E-12,30.3544E-12,38.8742E-12,51.4989E-12,69.7494E-12,24.5933E-12,30.2439E-12,38.7550E-12,51.3640E-12,69.5925E-12
12.5893E3,26.9068E-12,33.3981E-12,43.1749E-12,57.4589E-12,77.6463E-12,26.0061E-12,31.7996E-12,40.5355E-12,53.4921E-12,72.1286E-12,25.6286E-12,31.3512E-12,39.9669E-12,52.7456E-12,71.1953E-12,25.3519E-12,31.0529E-12,39.6329E-12,52.3627E-12,70.7416E-12,25.1338E-12,30.8215E-12,39.3809E-12,52.0787E-12,70.4123E-12,24.9572E-12,30.6345E-12,39.1786E-12,51.8534E-12,70.1494E-12,24.8115E-12,30.4800E-12,39.0119E-12,51.6556E-12,69.9318E-12,24.6894E-12,30.3502E-12,38.8718E-12,51.4974E-12,69.7483E-12,24.5856E-12,30.2397E-12,38.7526E-12,51.3625E-12,69.5914E-12
12.8825E3,26.8989E-12,33.3935E-12,43.1722E-12,57.4569E-12,77.6443E-12,25.9989E-12,31.7956E-12,40.5332E-12,53.4906E-12,72.1273E-12,25.6213E-12,31.3472E-12,39.9646E-12,52.7442E-12,71.1941E-12,25.3446E-12,31.0489E-12,39.6306E-12,52.3613E-12,70.7405E-12,25.1264E-12,30.8175E-12,39.3786E-12,52.0773E-12,70.4112E-12,24.9498E-12,30.6304E-12,39.1763E-12,51.8519E-12,70.1483E-12,24.8040E-12,30.4759E-12,39.0096E-12,51.6541E-12,69.9308E-12,24.6818E-12,30.3461E-12,38.8695E-12,51.4960E-12,69.7473E-12,24.5780E-12,30.2355E-12,38.7503E-12,51.3610E-12,69.5903E-12
13.1826E3,26.8911E-12,33.3890E-12,43.1695E-12,57.4550E-12,77.6423E-12,25.9918E-12,31.7916E-12,40.5309E-12,53.4891E-12,72.1260E-12,25.6142E-12,31.3432E-12,39.9623E-12,52.7427E-12,71.1930E-12,25.3374E-12,31.0449E-12,39.6283E-12,52.3598E-12,70.7394E-12,25.1192E-12,30.8135E-12,39.3763E-12,52.0759E-12,70.4101E-12,24.9425E-12,30.6264E-12,39.1740E-12,51.8505E-12,70.1472E-12,24.7967E-12,30.4718E-12,39.0073E-12,51.6527E-12,69.9297E-12,24.6745E-12,30.3420E-12,38.8672E-12,51.4946E-12,69.7463E-12,24.5707E-12,30.2315E-12,38.7480E-12,51.3596E-12,69.5893E-12
13.4896E3,26.8835E-12,33.3846E-12,43.1669E-12,57.4531E-12,77.6404E-12,25.9849E-12,31.7878E-12,40.5287E-12,53.4876E-12,72.1248E-12,25.6073E-12,31.3394E-12,39.9601E-12,52.7413E-12,71.1919E-12,25.3304E-12,31.0410E-12,39.6261E-12,52.3584E-12,70.7383E-12,25.1122E-12,30.8096E-12,39.3741E-12,52.0745E-12,70.4091E-12,24.9354E-12,30.6225E-12,39.1718E-12,51.8491E-12,70.1462E-12,24.7896E-12,30.4679E-12,39.0051E-12,51.6513E-12,69.9287E-12,24.6673E-12,30.3381E-12,38.8649E-12,51.4932E-12,69.7453E-12,24.5635E-12,30.2275E-12,38.7458E-12,51.3583E-12,69.5883E-12
13.8038E3,26.8761E-12,33.3803E-12,43.1643E-12,57.4513E-12,77.6386E-12,25.9781E-12,31.7840E-12,40.5265E-12,53.4862E-12,72.1235E-12,25.6005E-12,31.3356E-12,39.9580E-12,52.7399E-12,71.1908E-12,25.3236E-12,31.0373E-12,39.6240E-12,52.3571E-12,70.7373E-12,25.1053E-12,30.8058E-12,39.3720E-12,52.0731E-12,70.4081E-12,24.9285E-12,30.6187E-12,39.1696E-12,51.8478E-12,70.1452E-12,24.7826E-12,30.4641E-12,39.0029E-12,51.6500E-12,69.9277E-12,24.6603E-12,30.3342E-12,38.8628E-12,51.4918E-12,69.7443E-12,24.5564E-12,30.2236E-12,38.7436E-12,51.3569E-12,69.5874E-12
14.1254E3,26.8688E-12,33.3761E-12,43.1618E-12,57.4495E-12,77.6368E-12,25.9715E-12,31.7803E-12,40.5243E-12,53.4848E-12,72.1223E-12,25.5939E-12,31.3320E-12,39.9559E-12,52.7386E-12,71.1897E-12,25.3169E-12,31.0336E-12,39.6219E-12,52.3558E-12,70.7363E-12,25.0985E-12,30.8021E-12,39.3699E-12,52.0718E-12,70.4071E-12,24.9217E-12,30.6150E-12,39.1675E-12,51.8464E-12,70.1442E-12,24.7758E-12,30.4603E-12,39.0008E-12,51.6487E-12,69.9268E-12,24.6535E-12,30.3305E-12,38.8606E-12,51.4905E-12,69.7433E-12,24.5495E-12,30.2199E-12,38.7414E-12,51.3556E-12,69.5864E-12
14.4544E3,26.8617E-12,33.3720E-12,43.1594E-12,57.4478E-12,77.6350E-12,25.9651E-12,31.7767E-12,40.5223E-12,53.4834E-12,72.1211E-12,25.5874E-12,31.3284E-12,39.9538E-12,52.7373E-12,71.1886E-12,25.3104E-12,31.0300E-12,39.6198E-12,52.3545E-12,70.7353E-12,25.0920E-12,30.7985E-12,39.3678E-12,52.0705E-12,70.4061E-12,24.9151E-12,30.6113E-12,39.1655E-12,51.8452E-12,70.1433E-12,24.7691E-12,30.4566E-12,38.9987E-12,51.6474E-12,69.9258E-12,24.6468E-12,30.3268E-12,38.8586E-12,51.4892E-12,69.7424E-12,24.5428E-12,30.2162E-12,38.7394E-12,51.3543E-12,69.5855E-12
14.7911E3,26.8548E-12,33.3680E-12,43.1570E-12,57.4461E-12,77.6333E-12,25.9588E-12,31.7732E-12,40.5202E-12,53.4820E-12,72.1200E-12,25.5810E-12,31.3249E-12,39.9518E-12,52.7360E-12,71.1876E-12,25.3040E-12,31.0264E-12,39.6178E-12,52.3532E-12,70.7343E-12,25.0855E-12,30.7949E-12,39.3658E-12,52.0692E-12,70.4052E-12,24.9086E-12,30.6078E-12,39.1634E-12,51.8439E-12,70.1424E-12,24.7626E-12,30.4531E-12,38.9967E-12,51.6461E-12,69.9249E-12,24.6402E-12,30.3232E-12,38.8565E-12,51.4880E-12,69.7415E-12,24.5362E-12,30.2125E-12,38.7373E-12,51.3530E-12,69.5846E-12
15.1356E3,26.8480E-12,33.3641E-12,43.1546E-12,57.4444E-12,77.6316E-12,25.9526E-12,31.7698E-12,40.5182E-12,53.4807E-12,72.1189E-12,25.5749E-12,31.3214E-12,39.9498E-12,52.7347E-12,71.1866E-12,25.2977E-12,31.0230E-12,39.6159E-12,52.3519E-12,70.7333E-12,25.0792E-12,30.7914E-12,39.3638E-12,52.0680E-12,70.4042E-12,24.9023E-12,30.6043E-12,39.1615E-12,51.8427E-12,70.1414E-12,24.7562E-12,30.4496E-12,38.9947E-12,51.6449E-12,69.9240E-12,24.6338E-12,30.3197E-12,38.8545E-12,51.4867E-12,69.7406E-12,24.5298E-12,30.2090E-12,38.7353E-12,51.3518E-12,69.5837E-12
15.4882E3,26.8414E-12,33.3603E-12,43.1523E-12,57.4428E-12,77.6299E-12,25.9466E-12,31.7664E-12,40.5163E-12,53.4794E-12,72.1178E-12,25.5688E-12,31.3181E-12,39.9479E-12,52.7335E-12,71.1856E-12,25.2916E-12,31.0196E-12,39.6139E-12,52.3507E-12,70.7324E-12,25.0731E-12,30.7881E-12,39.3619E-12,52.0668E-12,70.4033E-12,24.8961E-12,30.6009E-12,39.1595E-12,51.8415E-12,70.1405E-12,24.7500E-12,30.4461E-12,38.9928E-12,51.6437E-12,69.9231E-12,24.6275E-12,30.3162E-12,38.8526E-12,51.4855E-12,69.7397E-12,24.5235E-12,30.2056E-12,38.7334E-12,51.3506E-12,69.5828E-12
15.8489E3,26.8349E-12,33.3566E-12,43.1501E-12,57.4412E-12,77.6283E-12,25.9407E-12,31.7631E-12,40.5144E-12,53.4782E-12,72.1167E-12,25.5629E-12,31.3148E-12,39.9461E-12,52.7323E-12,71.1847E-12,25.2857E-12,31.0163E-12,39.6121E-12,52.3495E-12,70.7315E-12,25.0671E-12,30.7847E-12,39.3600E-12,52.0656E-12,70.4025E-12,24.8900E-12,30.5975E-12,39.1576E-12,51.8403E-12,70.1397E-12,24.7439E-12,30.4428E-12,38.9909E-12,51.6425E-12,69.9223E-12,24.6214E-12,30.3129E-12,38.8507E-12,51.4844E-12,69.7388E-12,24.5174E-12,30.2022E-12,38.7315E-12,51.3494E-12,69.5820E-12
16.2181E3,26.8286E-12,33.3529E-12,43.1479E-12,57.4396E-12,77.6267E-12,25.9349E-12,31.7599E-12,40.5125E-12,53.4770E-12,72.1157E-12,25.5571E-12,31.3116E-12,39.9442E-12,52.7311E-12,71.1837E-12,25.2798E-12,31.0131E-12,39.6102E-12,52.3484E-12,70.7306E-12,25.0612E-12,30.7815E-12,39.3582E-12,52.0644E-12,70.4016E-12,24.8841E-12,30.5943E-12,39.1558E-12,51.8391E-12,70.1388E-12,24.7380E-12,30.4395E-12,38.9890E-12,51.6414E-12,69.9214E-12,24.6154E-12,30.3096E-12,38.8488E-12,51.4832E-12,69.7380E-12,24.5114E-12,30.1989E-12,38.7296E-12,51.3483E-12,69.5811E-12
16.5959E3,26.8224E-12,33.3494E-12,43.1458E-12,57.4381E-12,77.6252E-12,25.9293E-12,31.7568E-12,40.5107E-12,53.4758E-12,72.1146E-12,25.5515E-12,31.3085E-12,39.9424E-12,52.7300E-12,71.1828E-12,25.2741E-12,31.0100E-12,39.6085E-12,52.3472E-12,70.7297E-12,25.0554E-12,30.7783E-12,39.3564E-12,52.0633E-12,70.4007E-12,24.8783E-12,30.5911E-12,39.1540E-12,51.8380E-12,70.1380E-12,24.7321E-12,30.4363E-12,38.9872E-12,51.6402E-12,69.9206E-12,24.6096E-12,30.3064E-12,38.8470E-12,51.4821E-12,69.7372E-12,24.5055E-12,30.1957E-12,38.7278E-12,51.3471E-12,69.5803E-12
16.9824E3,26.8163E-12,33.3459E-12,43.1437E-12,57.4366E-12,77.6237E-12,25.9238E-12,31.7537E-12,40.5089E-12,53.4746E-12,72.1136E-12,25.5459E-12,31.3054E-12,39.9407E-12,52.7288E-12,71.1819E-12,25.2686E-12,31.0069E-12,39.6067E-12,52.3461E-12,70.7289E-12,25.0498E-12,30.7753E-12,39.3546E-12,52.0622E-12,70.3999E-12,24.8727E-12,30.5880E-12,39.1522E-12,51.8369E-12,70.1372E-12,24.7265E-12,30.4332E-12,38.9855E-12,51.6391E-12,69.9198E-12,24.6039E-12,30.3032E-12,38.8453E-12,51.4810E-12,69.7364E-12,24.4998E-12,30.1925E-12,38.7260E-12,51.3460E-12,69.5795E-12
17.3780E3,26.8104E-12,33.3425E-12,43.1417E-12,57.4352E-12,77.6222E-12,25.9184E-12,31.7507E-12,40.5072E-12,53.4735E-12,72.1127E-12,25.5405E-12,31.3024E-12,39.9390E-12,52.7277E-12,71.1810E-12,25.2631E-12,31.0039E-12,39.6050E-12,52.3451E-12,70.7281E-12,25.0443E-12,30.7722E-12,39.3529E-12,52.0611E-12,70.3991E-12,24.8671E-12,30.5849E-12,39.1505E-12,51.8358E-12,70.1364E-12,24.7209E-12,30.4301E-12,38.9837E-12,51.6381E-12,69.9190E-12,24.5983E-12,30.3002E-12,38.8435E-12,51.4799E-12,69.7356E-12,24.4941E-12,30.1894E-12,38.7243E-12,51.3450E-12,69.5787E-12
17.7828E3,26.8046E-12,33.3391E-12,43.1397E-12,57.4338E-12,77.6208E-12,25.9131E-12,31.7478E-12,40.5055E-12,53.4723E-12,72.1117E-12,25.5353E-12,31.2995E-12,39.9373E-12,52.7267E-12,71.1802E-12,25.2578E-12,31.0010E-12,39.6033E-12,52.3440E-12,70.7272E-12,25.0390E-12,30.7693E-12,39.3512E-12,52.0601E-12,70.3983E-12,24.8617E-12,30.5820E-12,39.1488E-12,51.8348E-12,70.1356E-12,24.7155E-12,30.4272E-12,38.9821E-12,51.6370E-12,69.9183E-12,24.5928E-12,30.2972E-12,38.8418E-12,51.4789E-12,69.7349E-12,24.4887E-12,30.1864E-12,38.7226E-12,51.3439E-12,69.5780E-12
18.1970E3,26.7990E-12,33.3359E-12,43.1378E-12,57.4324E-12,77.6194E-12,25.9080E-12,31.7449E-12,40.5039E-12,53.4712E-12,72.1108E-12,25.5301E-12,31.2967E-12,39.9357E-12,52.7256E-12,71.1794E-12,25.2526E-12,30.9981E-12,39.6017E-12,52.3430E-12,70.7265E-12,25.0337E-12,30.7664E-12,39.3496E-12,52.0591E-12,70.3976E-12,24.8565E-12,30.5791E-12,39.1472E-12,51.8337E-12,70.1349E-12,24.7102E-12,30.4242E-12,38.9804E-12,51.6360E-12,69.9175E-12,24.5875E-12,30.2943E-12,38.8402E-12,51.4778E-12,69.7341E-12,24.4833E-12,30.1835E-12,38.7209E-12,51.3429E-12,69.5772E-12
18.6209E3,26.7935E-12,33.3327E-12,43.1359E-12,57.4310E-12,77.6180E-12,25.9030E-12,31.7421E-12,40.5022E-12,53.4702E-12,72.1098E-12,25.5251E-12,31.2939E-12,39.9341E-12,52.7246E-12,71.1785E-12,25.2475E-12,30.9953E-12,39.6001E-12,52.3420E-12,70.7257E-12,25.0286E-12,30.7636E-12,39.3480E-12,52.0581E-12,70.3968E-12,24.8513E-12,30.5762E-12,39.1456E-12,51.8327E-12,70.1341E-12,24.7050E-12,30.4214E-12,38.9788E-12,51.6350E-12,69.9168E-12,24.5823E-12,30.2914E-12,38.8386E-12,51.4768E-12,69.7334E-12,24.4781E-12,30.1806E-12,38.7193E-12,51.3419E-12,69.5765E-12
19.0546E3,26.7881E-12,33.3296E-12,43.1340E-12,57.4297E-12,77.6166E-12,25.8980E-12,31.7394E-12,40.5007E-12,53.4691E-12,72.1090E-12,25.5201E-12,31.2912E-12,39.9325E-12,52.7236E-12,71.1777E-12,25.2425E-12,30.9925E-12,39.5985E-12,52.3410E-12,70.7249E-12,25.0236E-12,30.7608E-12,39.3464E-12,52.0571E-12,70.3961E-12,24.8463E-12,30.5735E-12,39.1440E-12,51.8318E-12,70.1334E-12,24.6999E-12,30.4186E-12,38.9772E-12,51.6340E-12,69.9161E-12,24.5772E-12,30.2886E-12,38.8370E-12,51.4759E-12,69.7327E-12,24.4729E-12,30.1778E-12,38.7177E-12,51.3409E-12,69.5758E-12
19.4984E3,26.7828E-12,33.3266E-12,43.1322E-12,57.4284E-12,77.6153E-12,25.8932E-12,31.7367E-12,40.4991E-12,53.4681E-12,72.1081E-12,25.5153E-12,31.2885E-12,39.9310E-12,52.7226E-12,71.1770E-12,25.2377E-12,30.9899E-12,39.5970E-12,52.3400E-12,70.7242E-12,25.0187E-12,30.7581E-12,39.3449E-12,52.0561E-12,70.3953E-12,24.8413E-12,30.5708E-12,39.1425E-12,51.8308E-12,70.1327E-12,24.6949E-12,30.4159E-12,38.9757E-12,51.6330E-12,69.9154E-12,24.5722E-12,30.2859E-12,38.8355E-12,51.4749E-12,69.7320E-12,24.4679E-12,30.1751E-12,38.7162E-12,51.3400E-12,69.5751E-12
